ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"178.32.99.234","elite","AS16276","FR","OVH SAS","14","OVH ISP","5678","socks4","3310","1","2025-06-23T11:40:43.358Z","84","8359","9943"
"126.153.202.179","elite","AS17676","JP","SoftBank Corp.","268","SOFTBANK Corp","3128","socks4","2786","1","2025-06-23T11:40:43.365Z","85","2755","3232"
"23.221.204.221","elite","AS20940","TW","Akamai International, BV","277","Akamai Technologies","1337","socks4","109","1","2025-06-23T11:40:43.357Z","100","1085","1087"
"45.76.150.205","elite","AS20473","SG","The Constant Company","252","Vultr Holdings, LLC","3128","socks5","3211","1","2025-06-23T11:40:43.365Z","99","3113","3130"
"51.89.228.17","elite","AS16276","GB","OVH SAS","18","OVH Ltd","8080","socks4","229","1","2025-06-23T11:40:02.747Z","94","9343","9965"
"115.73.235.203","elite","AS7552","VN","VIETELmetro","232","N/A","64000","socks4","4993","1","2025-06-23T11:40:02.760Z","62","1955","3152"
"46.227.38.1","elite","AS51155","PL","Citylink Telecom Sp. Z.o.o.","36","Telemedian","1088","socks4","3586","1","2025-06-23T11:40:02.848Z","100","10004","10050"
"183.89.249.192","elite","AS45758","TH","Triple T Broadband Public Company Limited","173","Triple T Broadband Public Company Limited","4153","socks4","245","1","2025-06-23T11:40:02.743Z","98","9799","9992"
"66.235.200.132","elite","AS13335","US","Cloudflare, Inc.","7","Newfold Digital, Inc","80","socks4","4285","1","2025-06-23T11:40:02.761Z","100","2812","2812"
"201.93.159.234","elite","AS27699","BR","Vivo","206","TELEF�NICA BRASIL S.A","4145","socks4","4909","1","2025-06-23T11:40:02.746Z","99","3309","3328"
"190.2.104.201","elite","AS27813","AR","Teledifusora S.A.","243","Teledifusora S.A","4153","socks4","4883","1","2025-06-23T11:40:02.751Z","92","3082","3346"
"118.179.119.218","elite","AS23956","BD","Dhakacom Limited","204","Dhakacom Limited","8080","socks4","1485","1","2025-06-23T11:40:02.747Z","99","884","893"
"116.106.111.212","elite","AS7552","VN","Viettel Corporation","257","Viettel Group","1080","socks4","4705","1","2025-06-23T11:40:02.741Z","89","2799","3133"
"181.57.225.166","elite","AS14080","CO","Telmex Colombia S.A.","172","Telmex Colombia S.A.","3629","socks4","4997","1","2025-06-23T11:40:02.755Z","100","3282","3292"
"37.59.52.138","elite","AS16276","FR","OVH SAS","13","OVH ISP","8080","socks4","4282","1","2025-06-23T11:40:02.750Z","100","662","662"
"103.60.187.1","elite","AS135729","IN","Digital Telco Network India Pvt. Ltd.","163","Digital Telco Network India Pvt. Ltd.","52195","socks4","234","1","2025-06-23T11:40:02.742Z","99","9986","10038"
"36.37.180.59","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE","202","Viettel (cambodia) Pte., Ltd.","1080","socks4","1046","1","2025-06-23T11:40:02.749Z","92","9206","9964"
"114.33.206.143","elite","AS3462","TW","Chunghwa Telecom Co., Ltd.","248","Chunghwa Telecom Co. Ltd.","52112","socks4","4888","1","2025-06-23T11:40:02.757Z","4","374","9992"
"197.234.13.66","elite","AS36902","SC","Intelvision","121","Intelvision Ltd","4145","socks4","3297","1","2025-06-23T11:40:02.756Z","99","9921","10012"
